iter	Logloss
0	0.5055160312
1	0.4016997032
2	0.3466200028
3	0.311722532
4	0.2916459853
5	0.2780946851
6	0.2711337241
7	0.2643586435
8	0.2607615661
9	0.2570647322
10	0.2552402887
11	0.2530775909
12	0.2515267623
13	0.2463832568
14	0.2452405658
15	0.2436321684
16	0.2421969096
17	0.240275592
18	0.2392110536
19	0.2383826627
20	0.2374219658
21	0.2366770545
22	0.2357727368
23	0.2348474194
24	0.2338508459
25	0.2330836871
26	0.2323116121
27	0.2315016475
28	0.2306299089
29	0.2297709467
30	0.229034923
31	0.228381737
32	0.2274884047
33	0.2265762667
34	0.225393181
35	0.2243106957
36	0.2234420396
37	0.2226614604
38	0.2222424892
39	0.2215710366
