iter	Logloss
0	0.6244631017
1	0.5661002181
2	0.5156872733
3	0.4740431324
4	0.4414228769
5	0.4126303909
6	0.3886112392
7	0.3679609402
8	0.3507522033
9	0.3363571285
10	0.3249923197
11	0.3152089208
12	0.3072279309
13	0.2995379331
14	0.2938959451
15	0.2878489038
16	0.2835057777
17	0.2795769728
18	0.2762154882
19	0.2734216818
20	0.2706840077
21	0.267816012
22	0.2653791514
23	0.2627260647
24	0.2602293507
25	0.2585214574
26	0.2569399912
27	0.2543456057
28	0.2534732706
29	0.2525831434
30	0.2514792291
31	0.2505598861
32	0.2495367504
33	0.2486294389
34	0.2477628123
35	0.2468848357
36	0.2458484556
37	0.2451209186
38	0.2436905051
39	0.2429500352
40	0.242285696
41	0.2418616962
42	0.2413289049
43	0.2401797575
44	0.2396003205
45	0.2390719785
46	0.2386090011
47	0.2381879226
48	0.2377171402
49	0.2371930515
50	0.2366744065
51	0.2354440124
52	0.2350270387
53	0.2344378785
54	0.2339233214
55	0.2333760975
56	0.2326815879
57	0.2322106356
58	0.2318096891
59	0.2312465727
60	0.2308122048
61	0.2302993417
62	0.2299361186
63	0.2296891987
64	0.2293453703
65	0.2288643549
66	0.2286076323
67	0.228112624
68	0.2277881764
69	0.2271976013
70	0.226878289
71	0.2265274129
72	0.2260994103
73	0.2255189597
74	0.2250537315
75	0.2247806234
76	0.2245258029
77	0.2235984455
78	0.2232700398
79	0.222725163
80	0.2223881368
81	0.2221678846
82	0.2218227045
83	0.2214016994
84	0.2207341086
85	0.2203772829
86	0.220016988
87	0.2196829916
88	0.2192817194
89	0.2188948502
90	0.2184781708
91	0.2181208954
92	0.2178462129
93	0.2175345892
94	0.2171000822
95	0.2167299226
96	0.2163637847
97	0.2159665173
98	0.2156580307
99	0.2154391026
100	0.2151604276
101	0.2148287145
102	0.2144374164
103	0.214117347
104	0.21382725
105	0.2135560464
106	0.2132851891
107	0.2130626944
108	0.2128160289
109	0.2125885905
110	0.2123786842
111	0.2120615557
112	0.2116455636
113	0.2113911288
114	0.2110176394
115	0.2107571581
116	0.2104506319
117	0.2102096742
118	0.2097995008
119	0.2093226059
120	0.2088838188
121	0.2085325216
122	0.2081505198
123	0.2077542757
124	0.2075192136
125	0.2069996133
126	0.206630844
127	0.2061795066
128	0.2057414023
129	0.2054173364
130	0.2052063601
131	0.2047657611
132	0.2043217038
133	0.2039643821
134	0.2036581978
135	0.2033019872
136	0.2028608208
137	0.2025075879
138	0.2022104292
139	0.2017510092
140	0.2012966967
141	0.2008902895
142	0.2005391301
143	0.2001053217
144	0.1996071111
145	0.1989920555
146	0.1986788448
147	0.1983834234
148	0.1980477788
149	0.1976063862
150	0.1972331101
151	0.1969727437
152	0.196750332
153	0.1963710093
154	0.1959820851
155	0.1956716844
156	0.1952093914
157	0.1947201487
158	0.1943515247
159	0.1939761216
160	0.1935597089
161	0.1933150451
162	0.1929824497
163	0.192584409
164	0.1922645841
165	0.1918836074
166	0.1915365412
167	0.1910503361
168	0.1908197344
169	0.1904939663
170	0.1901673986
171	0.1898201243
172	0.1895242445
173	0.1891809121
174	0.1889246872
175	0.1885625907
176	0.1881816859
177	0.1879293148
178	0.1876114321
179	0.1872042059
180	0.186738015
181	0.1864938035
182	0.1861509855
183	0.1857426451
184	0.1853451192
185	0.1850829765
186	0.1847286066
187	0.1843415487
188	0.1840822504
189	0.1837833414
190	0.1834260966
191	0.1831967374
192	0.182946485
193	0.1825672748
194	0.1822773687
195	0.1819962425
196	0.1817122004
197	0.1814251497
198	0.1809087574
199	0.1806283642
200	0.1803846103
201	0.1801422011
202	0.1798904485
203	0.1796228608
204	0.1794036127
205	0.1792111504
206	0.1786932642
207	0.1784001279
208	0.1780830857
209	0.177816116
210	0.1775743116
211	0.1771647084
212	0.1768865859
213	0.1766111752
214	0.1763184019
215	0.176086037
216	0.1757151218
217	0.1754601247
218	0.1752577111
219	0.1749353952
220	0.1747548043
221	0.1744747831
222	0.1742879898
223	0.1739667348
224	0.1736141725
225	0.1732803265
226	0.1730568673
227	0.1728482354
228	0.1725976306
229	0.1723625597
230	0.1721301672
231	0.1718953527
232	0.1715870213
233	0.1712852444
234	0.1709969185
235	0.1708097423
236	0.1705012985
237	0.1700869784
238	0.1698458901
239	0.1696437962
240	0.1694723321
241	0.1691957178
242	0.1689593684
243	0.1686756716
244	0.1684392621
245	0.1681595392
246	0.1678903551
247	0.1675613866
248	0.167405337
249	0.167165603
250	0.1669019158
251	0.1665856593
252	0.166302414
253	0.1659689248
254	0.1658156964
255	0.1655048099
256	0.165252902
257	0.1649468524
258	0.16473166
259	0.1644137434
260	0.1641638751
261	0.1639121941
262	0.1637202708
263	0.1634041543
264	0.1631701029
265	0.1628632765
266	0.1626335003
267	0.1623073782
268	0.1620441681
269	0.1618564369
270	0.1616280988
271	0.1613349575
272	0.1611074143
273	0.160816863
274	0.1604540228
275	0.160285301
276	0.1601224726
277	0.1599494801
278	0.1596077206
279	0.1594019916
280	0.159226427
281	0.159019684
282	0.15871857
283	0.1585359381
284	0.1581902123
285	0.1579341511
286	0.1576069214
287	0.1572368994
288	0.1569716264
289	0.156670545
290	0.1562633231
291	0.1560027477
292	0.1558248923
293	0.1554761857
294	0.1552827575
295	0.1550610335
296	0.1548176532
297	0.1546751595
298	0.1544474251
299	0.1542324754
300	0.1540076291
301	0.1537461271
302	0.1535217938
303	0.1532018312
304	0.1529647259
305	0.152774771
306	0.1525595626
307	0.1522720591
308	0.1520963328
309	0.1518942441
310	0.1517286923
311	0.1514157958
312	0.1512206389
313	0.1509897384
314	0.150791928
315	0.1504441523
316	0.1502122151
317	0.1500056474
318	0.1498075644
319	0.1495498769
320	0.1493782967
321	0.1491539929
322	0.1489299625
323	0.1486756849
324	0.1484284108
325	0.1481815628
326	0.1479344061
327	0.1476218314
328	0.1473857071
329	0.1471823719
330	0.1469113068
331	0.1467160813
332	0.1464238955
333	0.1462133525
334	0.1460672272
335	0.1458480944
336	0.145713879
337	0.1454287683
338	0.145065497
339	0.1448556883
340	0.1445193822
341	0.1443019426
342	0.1441335831
343	0.1439422798
344	0.1438101735
345	0.1436195681
346	0.1434290219
347	0.1432462183
348	0.1429934031
349	0.1427478709
350	0.142537528
351	0.1423810448
352	0.142168129
353	0.141939942
354	0.1417509758
355	0.1415285034
356	0.141358694
357	0.1410413563
358	0.1407945047
359	0.1405961409
360	0.1403078051
361	0.1401486631
362	0.1400364287
363	0.1398181999
364	0.1396726567
365	0.1394652162
366	0.1393500572
367	0.1392119167
368	0.1389966796
369	0.1387519122
370	0.1385214639
371	0.1382592303
372	0.138085787
373	0.137904004
374	0.1376705681
375	0.1374657329
376	0.1372250154
377	0.1371020272
378	0.1369232956
379	0.1367503823
380	0.1364560088
381	0.1362592239
382	0.1361032814
383	0.1359552224
384	0.1357950075
385	0.1355301604
386	0.135334838
387	0.1352344307
388	0.1350805767
389	0.1349483834
390	0.1347211182
391	0.1345172026
