iter	Passed	Remaining
0	3	1945
1	6	1554
2	8	1462
3	11	1396
4	13	1351
5	16	1368
6	19	1354
7	21	1328
8	24	1310
9	26	1295
10	28	1286
11	31	1272
12	35	1316
13	37	1305
14	39	1292
15	42	1281
16	44	1267
17	47	1260
18	50	1282
19	53	1286
20	56	1289
21	58	1281
22	61	1273
23	64	1280
24	67	1289
25	71	1294
26	73	1286
27	75	1279
28	78	1273
29	82	1286
30	84	1279
31	87	1276
32	89	1270
33	92	1263
34	94	1255
35	98	1266
36	100	1259
37	103	1252
38	105	1247
39	107	1241
40	110	1234
41	114	1250
42	117	1244
43	119	1238
44	121	1231
45	124	1228
46	126	1223
47	130	1233
48	133	1229
49	135	1223
50	138	1217
51	140	1212
52	143	1210
53	146	1213
54	149	1208
55	151	1203
56	154	1201
57	156	1196
58	159	1191
59	162	1195
60	165	1191
61	168	1192
62	171	1190
63	174	1187
64	177	1188
65	180	1184
66	182	1180
67	185	1175
68	187	1170
69	189	1165
70	193	1168
71	196	1165
72	198	1160
73	200	1156
74	203	1152
75	205	1148
76	209	1149
77	211	1146
78	214	1142
79	216	1138
80	219	1134
81	221	1131
82	225	1132
83	228	1129
84	230	1127
85	233	1122
86	235	1118
87	238	1114
88	241	1115
89	243	1111
90	246	1106
91	248	1103
92	251	1099
93	253	1095
94	257	1096
95	259	1093
96	262	1089
97	265	1087
98	267	1084
99	270	1081
100	273	1079
101	275	1076
102	279	1076
103	281	1073
104	284	1069
105	286	1065
106	290	1067
107	293	1063
108	295	1060
109	298	1056
110	300	1053
111	303	1049
112	306	1050
113	309	1047
114	313	1048
115	317	1049
116	319	1046
117	323	1046
118	326	1043
119	328	1040
120	331	1036
121	333	1033
122	336	1030
123	339	1028
124	341	1024
125	344	1021
126	346	1017
127	349	1014
128	351	1011
129	355	1012
130	358	1008
131	360	1005
132	362	1001
133	365	998
134	368	995
135	371	994
136	375	993
137	377	990
138	379	986
139	382	983
140	387	985
141	389	982
142	392	979
143	395	976
144	397	973
145	400	971
146	403	969
147	405	965
148	408	961
149	410	958
150	413	954
151	415	951
152	419	951
153	421	947
154	424	944
155	426	941
156	429	938
157	431	934
158	435	933
159	437	930
160	440	927
161	442	923
162	445	920
163	447	917
164	451	917
165	454	914
166	456	911
167	459	907
168	461	904
169	465	903
170	468	901
171	477	910
172	480	907
173	483	906
174	486	903
175	488	899
176	491	896
177	493	893
178	496	889
179	509	905
180	511	901
181	515	901
182	518	897
183	520	894
184	523	891
185	525	887
186	528	884
187	531	882
188	534	878
189	536	875
190	538	871
191	541	868
192	543	864
193	547	863
194	549	860
195	552	856
196	554	853
197	557	850
198	559	846
199	563	845
200	565	841
201	568	838
202	570	835
203	573	831
204	575	828
205	580	828
206	582	824
207	585	822
208	588	818
209	590	815
210	593	812
211	596	810
212	598	807
213	601	803
214	603	800
215	606	796
216	608	793
217	612	792
218	615	789
219	617	785
220	619	782
221	622	779
222	624	776
223	628	774
224	631	771
225	633	768
226	636	765
227	638	761
228	641	758
229	644	757
230	647	753
231	649	750
232	651	747
233	654	743
234	656	740
235	660	739
236	663	736
237	665	732
238	668	729
239	670	726
240	673	723
241	677	722
242	680	720
243	683	717
244	686	714
245	688	710
246	692	708
247	694	706
248	697	702
249	699	699
250	702	696
251	704	693
252	708	691
253	711	688
254	713	685
255	716	682
256	718	679
257	720	676
258	724	674
259	726	670
260	729	667
261	731	664
262	734	661
263	736	658
264	740	656
265	742	653
266	745	650
267	747	647
268	750	644
269	752	641
270	756	639
271	759	636
272	761	633
273	764	630
274	766	627
275	770	625
276	773	623
277	777	620
278	779	617
279	782	614
280	784	611
281	788	609
282	791	606
283	793	603
284	795	600
285	798	597
286	801	594
287	805	592
288	807	589
289	810	586
290	812	583
291	818	582
292	822	580
293	832	583
294	1010	702
295	1016	700
296	1020	697
297	1022	693
298	1025	689
299	1027	685
300	1030	681
301	1032	676
302	1037	674
303	1040	670
304	1042	666
305	1045	662
306	1048	659
307	1052	655
308	1054	651
309	1057	648
310	1059	644
311	1062	640
312	1064	636
313	1068	633
314	1071	629
315	1073	625
316	1076	621
317	1078	617
318	1081	613
319	1084	610
320	1087	606
321	1090	602
322	1092	598
323	1095	595
324	1099	591
325	1101	588
326	1104	584
327	1107	580
328	1109	576
329	1112	572
330	1115	569
331	1118	565
332	1120	562
333	1123	558
334	1126	554
335	1128	550
336	1132	547
337	1135	544
338	1137	540
339	1140	536
340	1143	533
341	1146	529
342	1149	526
343	1151	522
344	1156	519
345	1159	515
346	1162	512
347	1165	509
348	1167	505
349	1170	501
350	1173	498
351	1175	494
352	1178	490
353	1181	487
354	1184	483
355	1186	480
356	1189	476
357	1191	472
358	1195	469
359	1197	465
360	1201	462
361	1203	458
362	1206	455
363	1208	451
364	1212	448
365	1214	444
366	1217	441
367	1219	437
368	1222	433
369	1224	430
370	1228	427
371	1231	423
372	1233	420
373	1236	416
374	1238	412
375	1241	409
376	1245	406
377	1247	402
378	1249	399
379	1252	395
380	1254	391
381	1257	388
382	1261	385
383	1263	381
384	1265	378
385	1268	374
386	1270	371
387	1273	367
388	1277	364
389	1280	361
390	1282	357
391	1284	353
392	1287	350
393	1289	346
394	1295	344
395	1299	341
396	1301	337
397	1304	334
398	1307	330
399	1310	327
400	1312	324
401	1315	320
402	1317	317
403	1320	313
404	1323	310
405	1326	307
406	1328	303
407	1330	300
408	1333	296
409	1335	293
410	1338	289
411	1341	286
412	1344	283
413	1346	279
414	1348	276
415	1351	272
416	1354	269
417	1357	266
418	1359	262
419	1362	259
420	1364	256
421	1367	252
422	1369	249
423	1373	246
424	1375	242
425	1378	239
426	1380	236
427	1383	232
428	1386	229
429	1390	226
430	1394	223
431	1396	219
432	1399	216
433	1401	213
434	1405	209
435	1407	206
436	1410	203
437	1412	199
438	1415	196
439	1417	193
440	1421	190
441	1423	186
442	1426	183
443	1428	180
444	1431	176
445	1434	173
446	1437	170
447	1440	167
448	1442	163
449	1445	160
450	1447	157
451	1450	153
452	1453	150
453	1456	147
454	1458	144
455	1461	140
456	1463	137
457	1466	134
458	1469	131
459	1472	128
460	1476	124
461	1478	121
462	1480	118
463	1484	115
464	1487	111
465	1490	108
466	1492	105
467	1495	102
468	1497	98
469	1501	95
470	1503	92
471	1506	89
472	1509	86
473	1511	82
474	1514	79
475	1518	76
476	1520	73
477	1523	70
478	1525	66
479	1528	63
480	1530	60
481	1535	57
482	1537	54
483	1539	50
484	1542	47
485	1544	44
486	1548	41
487	1551	38
488	1553	34
489	1556	31
490	1558	28
491	1560	25
492	1564	22
493	1567	19
494	1569	15
495	1572	12
496	1574	9
497	1577	6
498	1580	3
499	1583	0
