iter	Logloss
0	0.5048455923
1	0.4037804828
2	0.3482286558
3	0.3157146113
4	0.295371347
5	0.278743107
6	0.2707816288
7	0.2644007117
8	0.2598650539
9	0.256407219
10	0.2544731435
11	0.2521206606
12	0.2501476356
13	0.2476459648
14	0.2458621714
15	0.2442161573
16	0.2421434431
17	0.2405338662
18	0.2398223747
19	0.2385295394
20	0.2378022875
21	0.2367673651
22	0.236124617
23	0.2351762824
24	0.234507561
25	0.2336247019
26	0.232837132
27	0.2320025938
28	0.2316288145
29	0.230449537
30	0.229923595
31	0.2290705651
32	0.2282920084
33	0.2272346444
34	0.226361301
35	0.2257294472
36	0.2250346568
37	0.2243133402
38	0.2235411008
39	0.2227333292
