iter	Logloss
0	0.5080229385
1	0.4053260971
2	0.3422252118
3	0.3108147205
4	0.2929887606
5	0.2793393417
6	0.2713741734
7	0.2645550281
8	0.2598974328
9	0.2565634911
10	0.2536314385
11	0.2513642118
12	0.2470902627
13	0.2455397761
14	0.2442183456
15	0.2431103869
16	0.2418383341
17	0.2408843487
18	0.2396309453
19	0.2374000911
20	0.2363991469
21	0.2351352794
22	0.234118994
23	0.2332626346
24	0.2323271836
25	0.2315532508
26	0.2288512279
27	0.2278871059
28	0.2269655961
29	0.2265790688
30	0.2257765543
31	0.2249888408
32	0.2245298424
33	0.2238232127
34	0.2234941291
35	0.222958143
36	0.2225770808
37	0.2218220225
38	0.2208072422
39	0.2203728759
