iter	Logloss
0	0.5075435209
1	0.4040460957
2	0.3458544903
3	0.3119815455
4	0.2934029828
5	0.2810495628
6	0.2722534558
7	0.2665065344
8	0.2611175292
9	0.2580026034
10	0.2549781029
11	0.2530953709
12	0.2517315328
13	0.2503006521
14	0.2492802448
15	0.2438809922
16	0.2423427492
17	0.2409513944
18	0.2401247388
19	0.2391982427
20	0.2383018459
21	0.2370327411
22	0.2354623593
23	0.2348428083
24	0.2339211875
25	0.2329475605
26	0.2317817479
27	0.2301740179
28	0.229229344
29	0.2281310726
30	0.2275247781
31	0.2265104647
32	0.2258799606
33	0.2252420707
34	0.2240661062
35	0.2236373105
36	0.2230347961
37	0.2216195116
38	0.2198544199
39	0.2189540611
