iter	Logloss
0	0.6213687855
1	0.5634188719
2	0.5142870843
3	0.4740387983
4	0.441331566
5	0.4123301637
6	0.3904537469
7	0.3722636081
8	0.3558753104
9	0.3415585867
10	0.3297592569
11	0.3201199984
12	0.3111352049
13	0.303833828
14	0.2988252153
15	0.2935758161
16	0.2881711218
17	0.2853047365
18	0.2818413508
19	0.278496577
20	0.2753639204
21	0.2727071928
22	0.2712002046
23	0.2690690849
24	0.2669654219
25	0.2651187427
26	0.2633791834
27	0.2620616854
28	0.2607009266
29	0.2595378649
30	0.2582528349
31	0.2571541216
32	0.256133051
33	0.2550428199
34	0.2540589861
35	0.2531147114
36	0.2525590489
37	0.2517698185
38	0.2509779308
39	0.2503631104
40	0.249839631
41	0.2488011974
42	0.248194531
43	0.2476458714
44	0.2469430674
45	0.2462634238
46	0.2457492375
47	0.2450278816
48	0.2443899323
49	0.2438974658
50	0.2432224019
51	0.2427832578
52	0.2421302902
53	0.2416158639
54	0.2411193917
55	0.2404410701
56	0.2397748609
57	0.2394466891
58	0.2388324835
59	0.2382972763
60	0.2379736183
61	0.2375566127
62	0.2368939981
63	0.2364000686
64	0.2359000596
65	0.2354250757
66	0.2347066417
67	0.2343274795
68	0.2340359656
69	0.2334507482
70	0.2329190204
71	0.2324690991
72	0.2321388426
73	0.2318277404
74	0.231640859
75	0.2312117965
76	0.2308005408
77	0.2302032998
78	0.2297607595
79	0.2295016492
80	0.2291369447
81	0.2287691523
82	0.2285745707
83	0.2281926845
84	0.2278194191
85	0.2273838478
86	0.2269260727
87	0.2265659955
88	0.2263002629
89	0.22597096
90	0.2253356531
91	0.2249197625
92	0.2243449223
93	0.2239842495
94	0.223615847
95	0.2231499715
96	0.2226832779
97	0.2225298204
98	0.222033065
99	0.2215922438
100	0.2212910749
101	0.2210068879
102	0.2206966507
103	0.2203330791
104	0.2200180422
105	0.2195302437
106	0.2193278293
107	0.2187433381
108	0.2183882517
109	0.2179787466
110	0.2176058117
111	0.217197154
112	0.2167745202
113	0.2163723633
114	0.2159649606
115	0.2154627205
116	0.2152160447
117	0.2148954356
118	0.2143967151
119	0.2142005949
120	0.2136988095
121	0.2133291317
122	0.2129826053
123	0.212698333
124	0.2122018166
125	0.2118411206
126	0.2114167212
127	0.2108991003
128	0.2105977034
129	0.2103087069
130	0.2099145422
131	0.2094443672
132	0.2090605314
133	0.2087456122
134	0.2083848151
135	0.2077381322
136	0.2074428283
137	0.2071058154
138	0.2067358981
139	0.2062437717
140	0.2058779318
141	0.2054925325
142	0.2049492331
143	0.2043308702
144	0.2040462504
145	0.2037389375
146	0.2034507239
147	0.2030938601
148	0.2025649271
149	0.2020442255
150	0.2017104491
151	0.2010496539
152	0.2004921989
153	0.2001708254
154	0.1997966358
155	0.1994492797
156	0.1990577363
157	0.1986659907
158	0.1983943986
159	0.197993499
160	0.1976447452
161	0.1974201107
162	0.1971827118
163	0.1968741575
164	0.1965064857
165	0.196004048
166	0.1957809277
167	0.1954536187
168	0.1949965191
169	0.1945717092
170	0.1941934065
171	0.1938538015
172	0.1936346666
173	0.1933155258
174	0.1929192869
175	0.1926802275
176	0.1923480122
177	0.1919900767
178	0.1916539841
179	0.1913871574
180	0.1910351832
181	0.1906046474
182	0.1903133553
183	0.189997158
184	0.1896751972
185	0.1894001008
186	0.1892134622
187	0.1888484619
188	0.1885177118
189	0.1882257523
190	0.1879170653
191	0.1876742399
192	0.187248135
193	0.1870357464
194	0.1867192133
195	0.1862897793
196	0.1859963234
197	0.1857087217
198	0.1852302593
199	0.184995895
200	0.1845818213
201	0.1842029057
202	0.183991091
203	0.1837749468
204	0.1833948047
205	0.1830060925
206	0.182691125
207	0.1822788192
208	0.1820416225
209	0.1816417507
210	0.1813045869
211	0.1810385185
212	0.1807263865
213	0.1802979795
214	0.1799968585
215	0.1796204531
216	0.1792440416
217	0.179012904
218	0.1785071124
219	0.1781716507
220	0.1779616859
221	0.1776562977
222	0.1774636617
223	0.1771881435
224	0.1766278962
225	0.1764007652
226	0.1760710214
227	0.1756480304
228	0.1753423957
229	0.1751059253
230	0.1747932824
231	0.1743970409
232	0.1740111025
233	0.1736638223
234	0.1733518919
235	0.1730151147
236	0.1726542813
237	0.1723192426
238	0.171983119
239	0.1716861839
240	0.1714590156
241	0.1710895047
242	0.1709027612
243	0.1706320253
244	0.1703560288
245	0.1700463905
246	0.1696464553
247	0.169139656
248	0.1689000103
249	0.1687073082
250	0.1682826618
251	0.168023179
252	0.1677182845
253	0.1674591826
254	0.1671747147
255	0.1668484961
256	0.166649842
257	0.166330967
258	0.1661636435
259	0.1657880842
260	0.1652695983
261	0.164983038
262	0.1647476417
263	0.1644766313
264	0.1643167612
265	0.1640902208
266	0.1638667717
267	0.1635224361
268	0.1632649881
269	0.1629646259
270	0.1628115525
271	0.1626698958
272	0.1624607191
273	0.1621545101
274	0.161847446
275	0.1615441781
276	0.1612324333
277	0.1607500301
278	0.1605106616
279	0.1602923699
280	0.1600609941
281	0.15968479
282	0.1594868178
283	0.1593278175
284	0.159068517
285	0.158887116
286	0.158632667
287	0.1584045269
288	0.1581082996
289	0.1578564481
290	0.1577380237
291	0.1576132945
292	0.157355515
293	0.1570051373
294	0.1567060377
295	0.1565263249
296	0.1562139915
297	0.1559278693
298	0.1556110344
299	0.1554861695
300	0.1552362069
301	0.1549990076
302	0.1547962209
303	0.1545955032
304	0.1544266543
305	0.154058932
306	0.1537717131
307	0.1535100233
308	0.1532117592
309	0.1529385943
310	0.1526720161
311	0.1524297298
312	0.1520943781
313	0.1518209897
314	0.1516478119
315	0.1513991378
316	0.151302968
317	0.1510982835
318	0.1509787002
319	0.1507488088
320	0.1504597584
321	0.1502229561
322	0.1499590462
323	0.1497026844
324	0.1495605455
325	0.1493596103
326	0.149096867
327	0.1489067138
328	0.1485537018
329	0.1483273608
330	0.1482141951
331	0.1479932801
332	0.1478026009
333	0.1475357058
334	0.1473496522
335	0.1470681206
336	0.1468942645
337	0.1466829756
338	0.1465130181
339	0.1459913192
340	0.1457929611
341	0.1455538132
342	0.1454329925
343	0.1451735103
344	0.1449379192
345	0.144840733
346	0.1446190372
