iter	Passed	Remaining
0	2	1120
1	4	1126
2	7	1226
3	9	1197
4	11	1157
5	13	1127
6	15	1106
7	17	1090
8	19	1080
9	21	1069
10	25	1135
11	27	1129
12	30	1136
13	31	1103
14	33	1095
15	36	1099
16	39	1119
17	41	1112
18	43	1104
19	45	1100
20	47	1094
21	50	1091
22	52	1092
23	56	1123
24	58	1116
25	60	1110
26	63	1105
27	65	1103
28	67	1097
29	69	1093
30	72	1103
31	75	1098
32	77	1092
33	79	1087
34	81	1081
35	83	1076
36	85	1071
37	88	1081
38	91	1076
39	93	1071
40	95	1067
41	97	1063
42	99	1058
43	102	1063
44	105	1062
45	107	1057
46	109	1052
47	111	1048
48	113	1044
49	115	1039
50	117	1035
51	121	1044
52	123	1040
53	125	1037
54	127	1033
55	129	1029
56	132	1026
57	134	1027
58	137	1026
59	140	1030
60	142	1026
61	144	1022
62	146	1018
63	149	1015
64	153	1024
65	155	1021
66	157	1017
67	159	1015
68	162	1012
69	164	1007
70	166	1008
71	169	1007
72	171	1003
73	173	999
74	175	996
75	178	993
76	180	989
77	183	990
78	185	989
79	188	987
80	190	984
81	192	980
82	194	977
83	196	974
84	199	975
85	201	971
86	203	967
87	205	963
88	208	960
89	210	957
90	212	953
91	214	953
92	217	951
93	219	948
94	221	945
95	223	942
96	226	939
97	228	936
98	231	937
99	233	935
100	236	935
101	238	931
102	240	928
103	243	925
104	245	922
105	248	924
106	250	921
107	252	918
108	255	915
109	256	911
110	259	907
111	261	905
112	269	923
113	280	948
114	322	1079
115	517	1713
116	520	1703
117	522	1691
118	524	1680
119	527	1669
120	530	1663
121	533	1652
122	535	1642
123	537	1631
124	542	1626
125	547	1623
126	555	1630
127	562	1633
128	564	1622
129	566	1612
130	568	1601
131	570	1590
132	572	1580
133	575	1571
134	578	1564
135	580	1554
136	583	1544
137	585	1535
138	587	1525
139	589	1515
140	591	1506
141	594	1499
142	596	1490
143	598	1480
144	601	1471
145	603	1463
146	605	1454
147	608	1446
148	611	1439
149	613	1431
150	615	1422
151	617	1413
152	619	1405
153	623	1400
154	627	1395
155	629	1387
156	631	1379
157	633	1371
158	635	1363
159	638	1355
160	640	1349
161	643	1342
162	645	1334
163	648	1327
164	650	1320
165	652	1312
166	654	1305
167	657	1299
168	659	1292
169	661	1284
170	664	1277
171	666	1271
172	668	1264
173	671	1257
174	674	1253
175	677	1246
176	679	1239
177	681	1233
178	684	1227
179	686	1220
180	690	1217
181	693	1211
182	696	1206
183	699	1200
184	701	1194
185	705	1190
186	708	1186
187	711	1181
188	714	1175
189	716	1168
190	719	1163
191	723	1160
192	725	1153
193	727	1147
194	729	1141
195	732	1135
196	734	1129
197	737	1125
198	740	1120
199	743	1114
200	745	1108
201	747	1102
202	749	1096
203	752	1091
204	755	1086
205	757	1080
206	759	1074
207	761	1069
208	763	1063
209	766	1058
210	769	1054
211	772	1048
212	774	1043
213	776	1037
214	778	1032
215	780	1026
216	782	1020
217	786	1016
218	788	1011
219	790	1006
220	792	1000
221	794	995
222	796	989
223	798	984
224	802	981
225	805	976
226	807	970
227	809	965
228	811	960
229	813	955
230	817	951
231	819	946
232	821	941
233	823	936
234	825	931
235	828	926
236	830	921
237	833	917
238	835	912
239	838	907
240	840	902
241	842	898
242	844	893
243	846	888
244	849	884
245	852	879
246	854	875
247	856	870
248	858	865
249	860	860
250	863	856
251	866	853
252	869	848
253	871	843
254	873	839
255	875	834
256	877	830
257	880	826
258	883	821
259	885	817
260	887	812
261	889	808
262	892	803
263	894	799
264	897	795
265	899	791
266	901	787
267	903	782
268	906	778
269	908	773
270	910	769
271	913	765
272	915	761
273	918	757
274	920	753
275	922	748
276	925	744
277	927	740
278	930	737
279	932	732
280	934	728
281	936	724
282	940	720
283	942	716
284	946	714
285	948	710
286	951	706
287	953	702
288	955	697
289	958	693
290	961	690
291	963	686
292	965	682
293	967	678
294	969	674
295	972	669
296	974	665
297	977	662
298	979	658
299	981	654
300	983	650
301	985	646
302	988	642
303	990	638
304	993	635
305	996	631
306	998	627
307	1000	623
308	1003	620
309	1005	616
310	1008	612
311	1010	609
312	1013	605
313	1015	601
314	1017	597
315	1019	593
316	1021	589
317	1025	586
318	1027	583
319	1029	579
320	1032	575
321	1034	571
322	1036	567
323	1038	564
324	1042	561
325	1044	557
326	1047	554
327	1049	550
328	1051	546
329	1053	542
330	1057	540
331	1059	536
332	1062	532
333	1064	529
334	1066	525
335	1068	521
336	1070	517
337	1074	514
338	1076	511
339	1078	507
340	1080	503
341	1082	500
342	1084	496
343	1087	492
344	1090	489
345	1092	486
346	1094	482
347	1096	479
348	1098	475
349	1101	471
350	1104	468
351	1106	465
352	1108	461
353	1111	458
354	1113	454
355	1115	451
356	1117	447
357	1120	444
358	1122	441
359	1124	437
360	1127	434
361	1129	430
362	1131	427
363	1134	423
364	1139	421
365	1142	418
366	1144	414
367	1146	411
368	1148	407
369	1150	404
370	1154	401
371	1157	398
372	1159	394
373	1161	391
374	1163	387
375	1165	384
376	1168	381
377	1170	377
378	1173	374
379	1175	371
380	1177	367
381	1179	364
382	1181	361
383	1184	357
384	1187	354
385	1189	351
386	1191	347
387	1193	344
388	1195	341
389	1198	337
390	1201	334
391	1203	331
392	1206	328
393	1208	325
394	1210	321
395	1212	318
396	1214	315
397	1218	312
398	1220	308
399	1222	305
400	1224	302
401	1227	299
402	1229	295
403	1231	292
404	1234	289
405	1236	286
406	1238	283
407	1240	279
408	1242	276
409	1245	273
410	1247	270
411	1250	267
412	1253	264
413	1257	261
414	1259	258
415	1261	254
416	1264	251
417	1267	248
418	1269	245
419	1271	242
420	1274	239
421	1276	235
422	1278	232
423	1282	229
424	1284	226
425	1286	223
426	1288	220
427	1290	217
428	1293	213
429	1295	210
430	1298	207
431	1300	204
432	1302	201
433	1304	198
434	1306	195
435	1309	192
436	1311	189
437	1314	186
438	1316	182
439	1319	179
440	1321	176
441	1323	173
442	1325	170
443	1329	167
444	1331	164
445	1333	161
446	1335	158
447	1337	155
448	1340	152
449	1342	149
450	1347	146
451	1350	143
452	1353	140
453	1355	137
454	1357	134
455	1360	131
456	1362	128
457	1364	125
458	1366	122
459	1369	119
460	1371	116
461	1373	112
462	1376	109
463	1379	107
464	1381	103
465	1383	100
466	1385	97
467	1387	94
468	1389	91
469	1392	88
470	1395	85
471	1397	82
472	1399	79
473	1401	76
474	1403	73
475	1405	70
476	1409	67
477	1411	64
478	1413	61
479	1416	59
480	1418	56
481	1420	53
482	1422	50
483	1425	47
484	1428	44
485	1430	41
486	1432	38
487	1434	35
488	1436	32
489	1439	29
490	1442	26
491	1444	23
492	1447	20
493	1449	17
494	1451	14
495	1453	11
496	1457	8
497	1459	5
498	1461	2
499	1464	0
