iter	Logloss
0	0.6218967719
1	0.5639411154
2	0.5145725864
3	0.4747435044
4	0.4417786052
5	0.4141857243
6	0.3906288837
7	0.3708686225
8	0.3544982483
9	0.3402916319
10	0.3290769976
11	0.3191731874
12	0.3111983658
13	0.3053266482
14	0.299374078
15	0.2935913522
16	0.2892985421
17	0.2852591892
18	0.2823907078
19	0.2792216095
20	0.2763015003
21	0.2740000976
22	0.2722727889
23	0.2706047994
24	0.2692094214
25	0.2677620841
26	0.2665030489
27	0.2652979858
28	0.2640430116
29	0.2631319057
30	0.2622817557
31	0.2615082853
32	0.2605865912
33	0.2601657193
34	0.2596266748
35	0.2591619766
36	0.2583770672
37	0.2577544815
38	0.2570462
39	0.2566202931
40	0.2560477973
41	0.2554859831
42	0.2549997862
43	0.2546472892
44	0.2541470714
45	0.2536333899
46	0.2531852789
47	0.2528747394
48	0.2524052376
49	0.2519490826
50	0.2517073556
51	0.251001743
52	0.2506707577
53	0.2504978429
54	0.2501087362
55	0.2498153809
56	0.2495217026
57	0.2492202088
58	0.2489602292
59	0.2485504459
60	0.2482603084
61	0.2479038116
62	0.2475515679
63	0.2472279887
64	0.246934162
65	0.2467863313
66	0.2464402457
67	0.2460231245
68	0.24553355
69	0.2451787461
70	0.2450165504
71	0.2447360514
72	0.2444436369
73	0.2442092328
74	0.243928555
75	0.243674285
76	0.243160859
77	0.2428806835
78	0.2427025786
79	0.2424245273
80	0.2420512186
81	0.2417829217
82	0.2415203616
83	0.2412872867
84	0.2410553869
85	0.2407417355
86	0.2406647404
87	0.2403479214
88	0.2400912836
89	0.2397762805
90	0.239469745
91	0.2391918087
92	0.2389325273
93	0.23867952
94	0.2383346931
95	0.2379798812
96	0.2377496565
97	0.2372926694
98	0.2370745601
99	0.2368911129
100	0.2365176338
101	0.2360515855
102	0.2357880107
103	0.2354911553
104	0.2352544026
105	0.2350750985
106	0.2347387042
107	0.2345177494
108	0.2341889868
109	0.2341189717
110	0.2338749356
111	0.2336396177
112	0.2333368332
113	0.2330737006
114	0.2326792784
115	0.2324849034
116	0.2322337738
117	0.2319332193
118	0.2317260722
119	0.2314743494
120	0.2310817677
121	0.2309288005
122	0.2306204428
123	0.2304379907
124	0.230140749
125	0.2297468197
126	0.2295653798
127	0.2293303767
128	0.2290434651
129	0.2286677577
130	0.2283463732
131	0.2281128166
132	0.2275924719
133	0.2274428421
134	0.2271389331
135	0.2268022405
136	0.2265839035
137	0.2262289349
138	0.2259611869
139	0.2257254596
140	0.2253852409
141	0.2250595279
142	0.2247878146
143	0.2244837872
144	0.2242222603
145	0.2239031704
146	0.2235741639
147	0.2233356819
148	0.2231539706
149	0.2228587573
150	0.2225994588
151	0.2223963602
152	0.222069826
153	0.2218804629
154	0.2215315676
155	0.2211955572
156	0.2210012127
157	0.2207534118
158	0.2205131282
159	0.2203312382
160	0.2200310926
161	0.219542339
162	0.2192766499
163	0.219088073
164	0.2188533586
165	0.2186506388
166	0.2184762343
167	0.2181884676
168	0.2179368242
169	0.2176364379
170	0.2174182655
171	0.2172530162
172	0.2170544975
173	0.2167589902
174	0.2166111521
175	0.2164131457
176	0.2161114412
177	0.2158451996
178	0.2156323482
179	0.2153753234
180	0.2151094102
181	0.2148730815
182	0.2145328953
183	0.2142743061
184	0.214054631
185	0.2137755119
186	0.2136043495
187	0.2133130476
188	0.2131805723
189	0.2129586206
190	0.2126796259
191	0.212358765
192	0.2122035822
193	0.2119761534
194	0.2116883344
195	0.2114998931
196	0.2112061661
197	0.2110411251
198	0.2107934001
199	0.2105812898
200	0.2103019665
201	0.2100532804
202	0.2098224701
203	0.2096032687
204	0.2093864324
205	0.2091067774
206	0.2088710101
207	0.2086318287
208	0.2083926017
209	0.2080871707
210	0.2078249679
211	0.2076730733
212	0.2073690633
213	0.207158526
214	0.2069161756
215	0.2065643046
216	0.2063527514
217	0.2061188898
218	0.2058929105
219	0.2056198282
220	0.2052914123
221	0.2050370493
222	0.2048361933
223	0.2046253838
224	0.2043657641
225	0.2041911061
226	0.2039946066
227	0.2036795758
228	0.2034949352
229	0.2032876825
230	0.2030025233
231	0.2026519078
232	0.2024667032
233	0.2023171824
234	0.2021116474
235	0.2019144457
236	0.2016846118
237	0.2014906776
238	0.2013012497
239	0.2010302806
240	0.2008213076
241	0.2005393939
242	0.2002695984
243	0.2000773282
244	0.1998619111
245	0.1995420484
246	0.1993464738
247	0.1991011376
248	0.1988916887
249	0.1987165162
250	0.1985788324
251	0.1984015368
252	0.198283625
253	0.198075721
254	0.1979566924
255	0.1977922774
256	0.1976010579
257	0.1973922342
258	0.1971211492
259	0.1968778782
260	0.1967466912
261	0.1965298749
262	0.1963448711
263	0.1960298941
264	0.1958298409
265	0.1956066163
266	0.1954763173
267	0.1952422523
268	0.1950091462
269	0.1948252636
270	0.1946720535
271	0.1945139536
272	0.1942478589
273	0.1939073513
274	0.1937683265
275	0.1935758616
276	0.1933238742
277	0.193053447
278	0.1928983372
279	0.1926696973
280	0.1924992202
281	0.1922838668
282	0.1921007165
283	0.1919012202
284	0.1916712916
285	0.1914970044
286	0.1912693866
287	0.1910887332
288	0.190870503
289	0.1906958901
290	0.1904444981
291	0.1901930626
292	0.1900094936
293	0.1897682106
294	0.1895339815
295	0.1893052763
296	0.1891884917
297	0.1890105979
298	0.1888118026
299	0.1886425494
300	0.1884406424
301	0.1882794917
302	0.1881112766
303	0.1879219723
304	0.1878033873
305	0.1876349139
306	0.1874938608
307	0.1873058114
308	0.1871286223
309	0.1869421027
310	0.1866973958
311	0.1864581061
312	0.1863103267
313	0.1861699428
314	0.1859285091
315	0.1858087188
316	0.1854370929
317	0.1851855586
318	0.1849806304
319	0.1848722878
320	0.1846131564
321	0.1843862107
322	0.1842329843
323	0.1840415818
324	0.1838633445
325	0.1837059591
326	0.1835656967
327	0.1834231846
328	0.1831086033
329	0.1828463239
330	0.1826906748
331	0.1824982486
332	0.1822830327
333	0.1820905349
334	0.1819068921
335	0.1817567634
336	0.1815548891
337	0.181384539
338	0.1811859699
339	0.1810255456
340	0.180830095
341	0.180706876
342	0.1804946382
343	0.1802262633
344	0.1800843284
345	0.1799871024
346	0.1798647841
347	0.1796734936
348	0.1794008777
349	0.1792468679
350	0.1791492431
351	0.1789703547
352	0.1788083002
353	0.1786397458
354	0.1784430434
355	0.1782611657
356	0.1781569698
357	0.1780286585
358	0.1779197709
359	0.1777678456
360	0.17758177
361	0.1773985748
362	0.1772423821
363	0.1771334488
364	0.1769155389
365	0.176739992
366	0.1765990397
367	0.1764553662
