iter	Passed	Remaining
0	2	1431
1	5	1393
2	8	1363
3	11	1408
4	15	1488
5	17	1472
6	21	1485
7	26	1617
8	29	1591
9	32	1599
10	35	1570
11	37	1543
12	40	1530
13	43	1507
14	44	1454
15	47	1435
16	50	1427
17	51	1389
18	55	1414
19	59	1433
20	62	1428
21	65	1428
22	67	1405
23	70	1396
24	74	1414
25	77	1405
26	79	1397
27	82	1390
28	85	1391
29	92	1452
30	97	1481
31	101	1477
32	105	1496
33	109	1499
34	112	1491
35	115	1490
36	120	1505
37	125	1527
38	128	1517
39	131	1509
40	135	1520
41	138	1512
42	141	1503
43	144	1496
44	147	1491
45	151	1495
46	154	1485
47	156	1477
48	159	1469
49	167	1504
50	170	1497
51	172	1488
52	175	1479
53	178	1470
54	181	1467
55	184	1462
56	187	1456
57	190	1451
58	193	1449
59	198	1453
60	202	1454
61	205	1455
62	208	1448
63	211	1439
64	215	1442
65	218	1434
66	220	1427
67	223	1418
68	225	1411
69	230	1415
70	233	1408
71	236	1407
72	239	1403
73	242	1398
74	247	1400
75	249	1393
76	253	1391
77	257	1393
78	262	1399
79	265	1393
80	268	1386
81	270	1380
82	274	1377
83	279	1382
84	283	1383
85	290	1397
86	298	1415
87	310	1453
88	317	1467
89	320	1461
90	325	1462
91	335	1488
92	338	1482
93	343	1483
94	346	1479
95	349	1470
96	352	1462
97	354	1453
98	357	1449
99	360	1441
100	363	1436
101	366	1429
102	369	1422
103	371	1414
104	376	1415
105	378	1408
106	381	1400
107	383	1393
108	386	1386
109	391	1387
110	397	1392
111	400	1386
112	402	1379
113	407	1380
114	410	1373
115	412	1366
116	415	1359
117	418	1353
118	421	1349
119	424	1343
120	426	1337
121	429	1330
122	431	1323
123	434	1316
124	439	1317
125	442	1313
126	445	1309
127	448	1304
128	451	1298
129	455	1296
130	458	1291
131	461	1285
132	463	1279
133	467	1275
134	472	1276
135	474	1271
136	477	1265
137	479	1258
138	483	1254
139	488	1255
140	491	1252
141	494	1247
142	497	1242
143	501	1239
144	504	1236
145	507	1230
146	510	1224
147	512	1219
148	515	1214
149	518	1210
150	521	1205
151	525	1202
152	527	1196
153	530	1191
154	535	1191
155	538	1188
156	541	1182
157	544	1177
158	546	1172
159	550	1169
160	553	1165
161	556	1160
162	558	1155
163	562	1152
164	569	1156
165	572	1151
166	575	1146
167	577	1142
168	589	1154
169	593	1151
170	596	1146
171	600	1145
172	603	1140
173	606	1135
174	609	1131
175	611	1126
176	615	1123
177	619	1120
178	623	1118
179	626	1114
180	634	1118
181	638	1114
182	640	1109
183	643	1104
184	647	1102
185	650	1098
186	653	1094
187	656	1089
188	659	1084
189	663	1082
190	666	1078
191	669	1073
192	672	1069
193	674	1064
194	679	1062
195	682	1058
196	684	1053
197	687	1049
198	697	1055
199	700	1051
200	703	1046
201	706	1041
202	711	1040
203	713	1035
204	719	1035
205	722	1030
206	726	1028
207	729	1024
208	732	1019
209	736	1017
210	740	1013
211	746	1013
212	750	1010
213	754	1007
214	756	1003
215	761	1000
216	763	995
217	766	991
218	769	986
219	771	982
220	775	979
221	780	977
222	784	974
223	787	970
224	793	969
225	796	965
226	799	961
227	802	957
228	808	956
229	812	954
230	815	949
231	818	945
232	821	941
233	828	942
234	831	937
235	834	933
236	837	929
237	841	926
238	844	922
239	847	918
240	850	913
241	852	909
242	857	906
243	859	902
244	862	898
245	865	893
246	868	889
247	874	888
248	877	884
249	880	880
250	884	877
251	889	875
252	893	871
253	896	867
254	898	863
255	903	861
256	906	856
257	909	852
258	912	849
259	915	845
260	919	842
261	922	838
262	925	834
263	928	829
264	931	825
265	934	822
266	937	818
267	941	815
268	944	811
269	947	807
270	951	803
271	953	799
272	956	795
273	959	791
274	961	786
275	966	784
276	969	780
277	972	776
278	975	772
279	978	768
280	980	764
281	985	761
282	988	757
283	991	753
284	994	749
285	999	747
286	1001	743
287	1004	739
288	1007	735
289	1009	731
290	1012	727
291	1017	724
292	1020	720
293	1024	717
294	1026	713
295	1030	710
296	1034	707
297	1037	703
298	1042	700
299	1045	696
300	1049	693
301	1052	689
302	1054	685
303	1057	681
304	1061	678
305	1065	675
306	1070	672
307	1074	669
308	1080	667
309	1084	664
310	1094	665
311	1097	661
312	1100	657
313	1113	659
314	1122	659
315	1136	661
316	1152	665
317	1159	663
318	1167	662
319	1178	662
320	1188	662
321	1199	662
322	1205	660
323	1210	657
324	1213	653
325	1217	649
326	1220	645
327	1227	643
328	1237	643
329	1246	642
330	1256	641
331	1275	645
332	1286	645
333	1294	643
334	1297	639
335	1303	636
336	1308	632
337	1312	629
338	1315	624
339	1321	621
340	1325	618
341	1332	615
342	1335	611
343	1340	607
344	1343	603
345	1346	599
346	1350	595
347	1353	591
348	1359	588
349	1362	583
350	1365	579
351	1367	575
352	1371	571
353	1376	567
354	1381	564
355	1384	559
356	1388	556
357	1390	551
358	1393	547
359	1396	543
360	1400	539
361	1405	535
362	1407	531
363	1410	526
364	1412	522
365	1415	518
366	1421	515
367	1423	510
368	1426	506
369	1429	502
370	1432	497
371	1437	494
372	1441	490
373	1444	486
374	1447	482
375	1453	479
376	1455	475
377	1458	470
378	1461	466
379	1464	462
380	1471	459
381	1476	456
382	1483	453
383	1490	450
384	1494	446
385	1497	442
386	1501	438
387	1505	434
388	1508	430
389	1511	426
390	1515	422
391	1518	418
392	1523	414
393	1526	410
394	1528	406
395	1534	403
396	1537	398
397	1541	394
398	1544	391
399	1550	387
400	1553	383
401	1556	379
402	1559	375
403	1564	371
404	1568	367
405	1573	364
406	1576	360
407	1581	356
408	1584	352
409	1588	348
410	1591	344
411	1598	341
412	1601	337
413	1604	333
414	1607	329
415	1611	325
416	1614	321
417	1619	317
418	1623	313
419	1635	311
420	1650	309
421	1663	307
422	1674	304
423	1686	302
424	1701	300
425	1714	297
426	1727	295
427	1737	292
428	1750	289
429	1753	285
430	1756	281
431	1762	277
432	1765	273
433	1770	269
434	1783	266
435	1787	262
436	1791	258
437	1795	254
438	1797	249
439	1800	245
440	1803	241
441	1808	237
442	1811	233
443	1813	228
444	1816	224
445	1819	220
446	1824	216
447	1827	212
448	1830	207
449	1833	203
450	1835	199
451	1840	195
452	1844	191
453	1849	187
454	1851	183
455	1855	179
456	1859	174
457	1861	170
458	1864	166
459	1868	162
460	1879	158
461	1881	154
462	1884	150
463	1890	146
464	1893	142
465	1897	138
466	1900	134
467	1905	130
468	1908	126
469	1911	122
470	1914	117
471	1917	113
472	1921	109
473	1926	105
474	1929	101
475	1932	97
476	1936	93
477	1940	89
478	1943	85
479	1945	81
480	1948	76
481	1954	72
482	1957	68
483	1959	64
484	1962	60
485	1965	56
486	1969	52
487	1972	48
488	1975	44
489	1979	40
490	1985	36
491	1989	32
492	1992	28
493	1997	24
494	2002	20
495	2005	16
496	2008	12
497	2011	8
498	2017	4
499	2021	0
