iter	Logloss
0	0.5025844636
1	0.4017849964
2	0.342789561
3	0.3098298656
4	0.2919287311
5	0.2803782941
6	0.273034213
7	0.2666117279
8	0.2611457502
9	0.2571569186
10	0.2518043508
11	0.2497335242
12	0.2459331886
13	0.2443592004
14	0.2435727024
15	0.2421908155
16	0.2404818876
17	0.2392362866
18	0.2365164334
19	0.2353148212
20	0.2338533324
21	0.2332874596
22	0.2323460337
23	0.2314119787
24	0.2303877839
25	0.2295229933
26	0.2284630073
27	0.2274230294
28	0.2265942451
29	0.2256538814
30	0.2252813745
31	0.2244190368
32	0.2240272706
33	0.223151043
34	0.2224646426
35	0.2216406386
36	0.2209002047
37	0.219415586
38	0.2185097047
39	0.2178044922
