iter	Logloss
0	0.5061237309
1	0.4005524269
2	0.3463149317
3	0.3127657735
4	0.2926449961
5	0.2816156087
6	0.2719972113
7	0.2657681506
8	0.2592555689
9	0.2558151248
10	0.2534015923
11	0.2513724478
12	0.2495244684
13	0.2463497287
14	0.2450865108
15	0.2439377642
16	0.2428744956
17	0.24176493
18	0.2404355926
19	0.2394840633
20	0.2378144086
21	0.2366549365
22	0.2360051993
23	0.2352860734
24	0.2338683529
25	0.2328783665
26	0.2320716005
27	0.2304697919
28	0.2297021763
29	0.2288078753
30	0.2280669541
31	0.2273254323
32	0.2266953787
33	0.2259390422
34	0.2253524451
35	0.2245841455
36	0.2238362843
37	0.222986985
38	0.22231326
39	0.2200369124
