iter	Logloss
0	0.6238490913
1	0.5654353667
2	0.5170996105
3	0.4750378888
4	0.441514304
5	0.4137791658
6	0.3893460494
7	0.3677217284
8	0.3514406472
9	0.3370515939
10	0.3248748135
11	0.3153610154
12	0.3077398523
13	0.3007333837
14	0.2948245369
15	0.2899897765
16	0.2844545533
17	0.2791242236
18	0.2760920531
19	0.270921853
20	0.268206525
21	0.2662724258
22	0.26377157
23	0.2619758465
24	0.2601845678
25	0.258509905
26	0.2567541667
27	0.2546263165
28	0.2534954682
29	0.2520006398
30	0.2508909871
31	0.2492812353
32	0.2483392665
33	0.2476410118
34	0.246802939
35	0.2460316801
36	0.2444275885
37	0.2438517618
38	0.242330901
39	0.2416312153
40	0.2408652075
41	0.2404459142
42	0.2399246393
43	0.2393880054
44	0.238788126
45	0.2383054054
46	0.2376910549
47	0.2370946153
48	0.2364601313
49	0.2359348523
50	0.235335545
51	0.2347114729
52	0.234289973
53	0.2337835447
54	0.2333586564
55	0.233070413
56	0.2325893123
57	0.2320983989
58	0.2316466326
59	0.2312417934
60	0.2309521122
61	0.2305075259
62	0.2300867818
63	0.2296189328
64	0.2292859271
65	0.2289828613
66	0.2284648085
67	0.2275820062
68	0.2268946343
69	0.2265698435
70	0.2262411466
71	0.2258559293
72	0.2256220169
73	0.2251193703
74	0.2247641616
75	0.2243107347
76	0.2240199838
77	0.2237071346
78	0.2232929519
79	0.2229377591
80	0.2226319162
81	0.2222223435
82	0.2218609888
83	0.2216459759
84	0.2211836719
85	0.2209726176
86	0.2205510266
87	0.2201542594
88	0.219833739
89	0.2194310299
90	0.2190983482
91	0.218821011
92	0.218535676
93	0.2181764966
94	0.217858255
95	0.2171757106
96	0.2168235756
97	0.2164432643
98	0.2161882
99	0.2158333547
100	0.2154635665
101	0.2150955287
102	0.2146135137
103	0.2139719331
104	0.2136736886
105	0.2133310453
106	0.2130074562
107	0.2128357879
108	0.2125058712
109	0.2121990345
110	0.2119467197
111	0.211692549
112	0.2114033738
113	0.210990882
114	0.2106742386
115	0.2103754727
116	0.2100263726
117	0.2097596655
118	0.2094433712
119	0.2092575509
120	0.2088338676
121	0.2084256949
122	0.2080534806
123	0.207699282
124	0.2073217347
125	0.2069353428
126	0.2066071427
127	0.2062938537
128	0.2058022846
129	0.2054645345
130	0.2052923392
131	0.2048972889
132	0.2046008515
133	0.2042635468
134	0.2038176335
135	0.2035303118
136	0.2031918817
137	0.2029735626
138	0.2025867089
139	0.2021493924
140	0.2017433041
141	0.2013854677
142	0.2010743289
143	0.2007824968
144	0.2003723547
145	0.1998990927
146	0.1995028114
147	0.1990046459
148	0.198673458
149	0.1983189171
150	0.1979391903
151	0.1976142712
152	0.197244802
153	0.1969358872
154	0.196620531
155	0.1962526314
156	0.1960184641
157	0.1956295496
158	0.1954264368
159	0.1950959565
160	0.1947902353
161	0.194531433
162	0.1942550678
163	0.1938455164
164	0.193473387
165	0.1931177434
166	0.1927912494
167	0.1923616868
168	0.1919924654
169	0.1917777472
170	0.1913917157
171	0.1909959655
172	0.1906425701
173	0.1903840013
174	0.1899429253
175	0.189619159
176	0.189380797
177	0.1891099247
178	0.1887266753
179	0.1884034118
180	0.187992287
181	0.187793554
182	0.1875661397
183	0.1872053394
184	0.1869458833
185	0.1866336787
186	0.1863913363
187	0.1861417796
188	0.1858793804
189	0.1854447126
190	0.1852692884
191	0.1850119437
192	0.18456033
193	0.1842552128
194	0.1838487232
