iter	Passed	Remaining
0	2	1195
1	4	1208
2	7	1204
3	9	1227
4	12	1217
5	16	1320
6	18	1306
7	20	1288
8	23	1272
9	25	1260
10	28	1248
11	33	1344
12	35	1335
13	37	1318
14	40	1303
15	42	1290
16	45	1300
17	48	1296
18	50	1281
19	52	1270
20	55	1264
21	57	1255
22	60	1248
23	64	1276
24	67	1275
25	70	1277
26	72	1268
27	74	1260
28	79	1283
29	81	1278
30	84	1274
31	86	1268
32	89	1260
33	91	1254
34	95	1267
35	97	1260
36	100	1252
37	102	1246
38	104	1240
39	107	1238
40	111	1244
41	113	1237
42	115	1230
43	118	1224
44	120	1219
45	123	1215
46	126	1221
47	129	1215
48	131	1211
49	133	1205
50	136	1200
51	138	1194
52	141	1195
53	144	1190
54	146	1184
55	148	1179
56	151	1175
57	153	1170
58	156	1166
59	159	1172
60	162	1167
61	164	1163
62	167	1159
63	169	1155
64	172	1151
65	175	1155
66	178	1152
67	181	1151
68	183	1148
69	186	1144
70	189	1145
71	192	1145
72	195	1140
73	197	1137
74	199	1132
75	202	1128
76	205	1130
77	208	1128
78	211	1124
79	213	1120
80	215	1116
81	218	1113
82	221	1113
83	224	1111
84	227	1109
85	229	1105
86	232	1101
87	234	1097
88	238	1099
89	240	1096
90	243	1095
91	246	1092
92	248	1088
93	251	1085
94	254	1087
95	257	1083
96	259	1080
97	262	1075
98	264	1071
99	266	1067
100	270	1067
101	272	1064
102	276	1064
103	278	1061
104	280	1057
105	283	1052
106	286	1052
107	289	1049
108	291	1045
109	294	1042
110	296	1038
111	298	1034
112	301	1034
113	304	1031
114	307	1027
115	309	1024
116	311	1020
117	314	1017
118	316	1013
119	321	1018
120	326	1021
121	328	1017
122	330	1013
123	334	1013
124	337	1011
125	339	1007
126	341	1003
127	344	1000
128	346	996
129	349	995
130	352	993
131	355	990
132	357	986
133	359	983
134	362	979
135	366	979
136	368	976
137	371	973
138	373	969
139	375	966
140	378	963
141	381	962
142	385	963
143	389	962
144	391	959
145	394	955
146	397	953
147	400	951
148	402	947
149	404	944
150	406	940
151	409	936
152	411	933
153	415	933
154	417	930
155	420	926
156	422	923
157	425	920
158	427	917
159	431	916
160	433	912
161	435	909
162	438	906
163	440	903
164	443	900
165	447	900
166	449	896
167	452	893
168	454	890
169	457	888
170	459	884
171	463	883
172	465	880
173	468	877
174	470	874
175	473	871
176	475	867
177	479	867
178	481	864
179	484	862
180	487	859
181	489	855
182	492	852
183	495	851
184	498	848
185	500	845
186	503	842
187	505	839
188	508	836
189	512	835
190	514	832
191	517	829
