iter	Logloss
0	0.5035160634
1	0.3995877127
2	0.3411206998
3	0.3094049562
4	0.2934570727
5	0.2800178935
6	0.2727642073
7	0.2681123916
8	0.2619529478
9	0.2555364188
10	0.2528898513
11	0.2506637371
12	0.2476621519
13	0.2457275603
14	0.2438600398
15	0.2425589316
16	0.2410496543
17	0.2397720031
18	0.2386289677
19	0.2378446497
20	0.2371478535
21	0.2358787266
22	0.2351299815
23	0.2341316404
24	0.2333361608
25	0.232251178
26	0.2311228796
27	0.2302490791
28	0.2294139031
29	0.2269896046
30	0.2264224418
31	0.2259191188
32	0.224981588
33	0.224184516
34	0.2235011448
35	0.2228277278
36	0.2221001101
37	0.2214825351
38	0.2205794407
39	0.2197537632
