iter	Logloss
0	0.503590361
1	0.3999427194
2	0.3430160708
3	0.3122003111
4	0.2913970605
5	0.280209756
6	0.2690277579
7	0.2633203818
8	0.2590443975
9	0.2552521903
10	0.2523035945
11	0.2501689956
12	0.2482934558
13	0.2464280581
14	0.2426483867
15	0.2412529141
16	0.2400272208
17	0.2388577012
18	0.2381157278
19	0.2370288717
20	0.2361876019
21	0.2354715467
22	0.2343287539
23	0.2335075982
24	0.2324843445
25	0.2300666893
26	0.2292785669
27	0.2287811819
28	0.2278440811
29	0.2269423371
30	0.2261882793
31	0.225370434
32	0.2245860297
33	0.2239515736
34	0.2233317005
35	0.2227698451
36	0.2221337947
37	0.2214886372
38	0.2207244459
39	0.2200804972
