iter	Logloss
0	0.5089918322
1	0.4029427308
2	0.3431726945
3	0.3131411572
4	0.2916172298
5	0.2797140644
6	0.2659801526
7	0.2607482011
8	0.2576854951
9	0.2540863952
10	0.2513541004
11	0.2493898362
12	0.2469380174
13	0.2456428657
14	0.2444222567
15	0.2432879496
16	0.241975103
17	0.2406140239
18	0.2394996427
19	0.2382604044
20	0.2374282587
21	0.2364808918
22	0.2344158347
23	0.2333172839
24	0.2320866761
25	0.230875488
26	0.2300809487
27	0.22951516
28	0.2284580392
29	0.2274581992
30	0.226725329
31	0.2261533202
32	0.2253559257
33	0.2246459553
34	0.2238902744
35	0.2229636187
36	0.221930805
37	0.2212479033
38	0.2206767491
39	0.219845215
