iter	Passed	Remaining
0	3	1624
1	10	2697
2	26	4325
3	28	3563
4	31	3108
5	33	2797
6	37	2647
7	39	2451
8	42	2328
9	45	2229
10	48	2169
11	52	2148
12	55	2084
13	58	2026
14	60	1945
15	62	1901
16	66	1888
17	68	1826
18	70	1795
19	74	1783
20	77	1762
21	80	1740
22	83	1723
23	86	1708
24	88	1687
25	92	1677
26	94	1656
27	99	1676
28	102	1656
29	104	1637
30	107	1621
31	109	1608
32	113	1612
33	116	1596
34	120	1598
35	122	1585
36	125	1571
37	130	1582
38	132	1568
39	135	1557
40	138	1545
41	140	1534
42	143	1528
43	146	1518
44	149	1510
45	154	1525
46	158	1525
47	162	1528
48	165	1519
49	167	1510
50	170	1501
51	173	1492
52	176	1489
53	179	1480
54	182	1473
55	184	1465
56	187	1457
57	192	1463
58	198	1481
59	201	1475
60	205	1479
61	209	1479
62	212	1471
63	214	1464
64	217	1457
65	221	1455
66	226	1462
67	229	1455
68	235	1469
69	239	1473
70	242	1466
71	245	1458
72	249	1461
73	253	1460
74	258	1465
75	274	1533
76	278	1527
77	283	1532
78	289	1545
79	293	1541
80	296	1533
81	304	1551
82	308	1550
83	311	1543
84	321	1567
85	324	1561
86	331	1572
87	338	1584
88	341	1576
89	343	1566
90	346	1556
91	348	1546
92	351	1539
93	354	1532
94	357	1523
95	359	1514
96	362	1504
97	364	1496
98	368	1492
99	371	1485
100	374	1478
101	376	1470
102	379	1463
103	382	1455
104	386	1454
105	388	1445
106	391	1437
107	393	1429
108	396	1423
109	400	1420
110	403	1414
111	406	1406
112	408	1399
113	411	1392
114	413	1385
115	417	1382
116	420	1375
117	422	1368
118	425	1362
119	427	1355
120	430	1349
121	434	1347
122	437	1340
123	440	1334
124	442	1328
125	445	1322
126	449	1320
127	452	1314
128	454	1308
129	457	1302
130	460	1296
131	464	1294
132	466	1288
133	469	1282
134	472	1277
135	475	1272
136	477	1266
137	482	1266
138	486	1263
139	489	1257
140	492	1252
141	496	1251
142	499	1246
143	502	1241
144	504	1235
145	507	1229
146	509	1224
147	516	1229
148	519	1223
149	522	1218
150	524	1212
151	527	1208
152	530	1203
153	533	1197
154	535	1192
155	538	1186
156	540	1181
157	544	1178
158	547	1173
159	549	1168
160	552	1164
161	555	1159
162	558	1154
163	561	1149
164	563	1144
165	566	1139
166	569	1135
167	572	1130
168	579	1134
169	583	1131
170	585	1126
171	589	1123
172	592	1120
173	596	1117
174	599	1112
175	601	1107
176	604	1102
177	608	1100
178	611	1095
179	614	1093
180	617	1089
181	622	1086
182	625	1083
183	628	1079
184	631	1076
185	634	1071
186	639	1070
187	642	1066
188	647	1065
189	653	1065
190	657	1063
191	663	1064
192	670	1066
193	678	1070
194	685	1072
195	691	1072
196	696	1071
197	700	1067
198	704	1065
199	707	1061
200	712	1059
201	716	1056
202	721	1055
203	724	1050
204	726	1045
205	729	1041
206	732	1036
207	736	1034
208	740	1031
209	743	1027
210	747	1023
211	752	1022
212	755	1017
213	758	1013
214	761	1008
215	763	1004
216	767	1000
217	770	996
218	774	993
219	777	988
220	779	984
221	783	981
222	786	976
223	789	972
224	791	967
225	794	963
226	797	958
227	801	955
228	803	951
229	806	946
230	809	942
231	811	937
232	815	934
233	818	930
234	821	925
235	823	921
236	827	918
237	832	916
238	835	912
239	838	908
240	841	903
241	843	899
242	848	897
243	852	894
244	858	893
245	863	891
246	867	888
247	870	884
248	874	881
249	879	879
250	882	875
251	885	871
252	888	867
253	890	862
254	894	859
255	899	857
256	902	853
257	905	849
258	908	845
259	912	842
260	915	838
261	918	833
262	920	829
263	924	826
264	929	824
265	933	821
266	935	816
267	938	812
268	941	808
269	945	805
270	951	804
271	954	799
272	956	795
273	961	792
274	963	788
275	967	784
276	972	782
277	977	780
278	982	778
279	985	774
280	988	770
281	994	769
282	997	764
283	1000	760
284	1003	756
285	1008	754
286	1013	751
287	1017	748
288	1019	744
289	1023	741
290	1026	737
291	1029	733
292	1032	729
293	1035	725
294	1039	722
295	1042	718
296	1045	714
297	1047	710
298	1050	706
299	1053	702
300	1058	699
301	1060	695
302	1064	691
303	1066	687
304	1072	685
305	1076	682
306	1079	678
307	1081	674
308	1085	670
309	1089	667
310	1092	663
311	1095	659
312	1097	655
313	1100	651
314	1104	648
315	1107	644
316	1110	641
317	1114	637
318	1117	633
319	1120	630
320	1123	626
321	1126	622
322	1129	618
323	1131	614
324	1138	612
325	1140	608
326	1144	605
327	1147	601
328	1152	599
329	1155	595
330	1158	591
331	1161	587
332	1166	585
333	1170	581
334	1174	578
335	1176	574
336	1182	571
337	1185	567
338	1187	564
339	1190	560
340	1193	556
341	1198	553
342	1201	549
343	1204	546
344	1207	542
345	1211	539
346	1215	536
347	1219	532
348	1221	528
349	1225	525
350	1229	521
351	1232	518
352	1235	514
353	1239	511
354	1242	507
355	1247	504
356	1250	500
357	1252	496
358	1255	493
359	1258	489
360	1263	486
361	1267	483
362	1269	479
363	1272	475
364	1276	472
365	1279	468
366	1282	464
367	1285	461
368	1288	457
369	1290	453
370	1295	450
371	1299	446
372	1301	443
373	1304	439
374	1308	436
375	1315	433
376	1319	430
377	1325	427
378	1338	427
379	1353	427
380	1365	426
381	1380	426
382	1396	426
383	1410	426
384	1422	424
385	1433	423
386	1436	419
387	1448	418
388	1460	416
389	1463	412
390	1470	409
391	1482	408
392	1492	406
393	1499	403
394	1507	400
395	1510	396
396	1512	392
397	1515	388
398	1518	384
399	1524	381
400	1526	376
401	1529	372
402	1531	368
403	1534	364
404	1539	361
405	1542	357
406	1546	353
407	1549	349
408	1554	345
409	1557	341
410	1559	337
411	1563	333
412	1569	330
413	1573	326
414	1576	322
415	1579	318
416	1582	314
417	1589	311
418	1592	307
419	1595	303
420	1600	300
421	1603	296
422	1606	292
423	1609	288
424	1612	284
425	1616	280
426	1620	276
427	1624	273
428	1627	269
429	1635	266
430	1637	262
431	1641	258
432	1644	254
433	1649	250
434	1652	246
435	1657	243
436	1660	239
437	1667	236
438	1670	232
439	1673	228
440	1675	224
441	1678	220
442	1682	216
443	1685	212
444	1688	208
445	1692	204
446	1699	201
447	1702	197
448	1705	193
449	1708	189
450	1711	185
451	1714	182
452	1717	178
453	1720	174
454	1722	170
455	1725	166
456	1728	162
457	1731	158
458	1734	154
459	1738	151
460	1741	147
461	1749	143
462	1753	140
463	1757	136
464	1762	132
465	1765	128
466	1768	124
467	1771	121
468	1781	117
469	1789	114
470	1794	110
471	1797	106
472	1802	102
473	1815	99
474	1829	96
475	1840	92
476	1853	89
477	1865	85
478	1874	82
479	1888	78
480	1898	75
481	1910	71
482	1919	67
483	1932	63
484	1942	60
485	1958	56
486	1968	52
487	1971	48
488	1976	44
489	1979	40
490	1985	36
491	1991	32
492	1993	28
493	1996	24
494	1999	20
495	2001	16
496	2005	12
497	2008	8
498	2010	4
499	2016	0
