iter	Passed	Remaining
0	23	11947
1	31	7947
2	36	6040
3	38	4818
4	279	27701
5	287	23702
6	289	20419
7	291	17956
8	294	16045
9	296	14509
10	298	13259
11	300	12231
12	303	11372
13	305	10595
14	308	9966
15	310	9393
16	313	8908
17	316	8470
18	319	8077
19	322	7728
20	324	7395
21	326	7091
22	328	6813
23	331	6582
24	334	6363
25	337	6146
26	339	5943
27	341	5756
28	343	5580
29	345	5417
30	348	5274
31	351	5135
32	353	5000
33	355	4871
34	357	4749
35	359	4634
36	361	4527
37	365	4438
38	367	4342
39	370	4265
40	373	4177
41	375	4092
42	377	4011
43	380	3948
44	383	3874
45	385	3803
46	387	3734
47	389	3669
48	391	3605
49	393	3544
50	397	3495
51	399	3441
52	401	3386
53	404	3341
54	406	3291
55	408	3242
56	411	3197
57	414	3156
58	416	3112
59	418	3070
60	420	3028
61	422	2987
62	424	2947
63	428	2916
64	431	2885
65	433	2849
66	435	2813
67	437	2780
68	439	2746
69	442	2715
70	445	2690
71	447	2659
72	449	2629
73	451	2599
74	453	2570
75	456	2545
76	458	2518
77	461	2499
78	464	2473
79	466	2449
80	468	2424
81	470	2400
82	473	2376
83	476	2358
84	478	2335
85	480	2313
86	482	2290
87	484	2268
88	486	2248
89	488	2227
90	491	2210
91	494	2193
92	496	2173
93	498	2154
94	500	2135
95	503	2118
96	505	2100
97	508	2085
98	510	2068
99	513	2055
100	515	2038
101	518	2022
102	520	2006
103	522	1990
104	526	1978
105	528	1963
106	530	1947
107	532	1932
108	534	1917
109	536	1901
110	538	1887
111	541	1876
112	543	1862
113	545	1848
114	548	1834
115	550	1821
116	552	1808
117	554	1794
118	558	1787
119	560	1774
120	562	1762
121	564	1750
122	567	1737
123	568	1725
124	572	1716
125	574	1706
126	576	1694
127	579	1683
128	581	1672
129	583	1661
130	585	1649
131	589	1642
132	591	1632
133	593	1622
134	595	1611
135	598	1600
136	600	1590
137	602	1580
138	605	1573
139	607	1563
140	610	1555
141	612	1545
142	615	1535
143	617	1525
144	620	1519
145	623	1510
146	625	1501
147	627	1492
148	629	1483
149	631	1474
150	633	1465
151	636	1458
152	639	1449
153	641	1440
154	643	1432
155	645	1423
156	647	1415
157	649	1406
158	654	1402
159	656	1394
160	658	1386
161	660	1378
162	662	1370
163	664	1362
164	667	1355
165	670	1348
166	672	1340
167	674	1333
168	676	1325
169	679	1318
170	682	1312
171	686	1309
172	688	1301
173	690	1294
174	693	1287
175	695	1280
176	698	1273
177	701	1268
178	703	1261
179	706	1255
180	708	1248
181	710	1241
182	712	1234
183	715	1229
184	718	1224
185	721	1217
186	723	1210
187	725	1204
188	727	1197
189	729	1191
190	733	1186
191	735	1180
192	738	1173
193	740	1167
194	742	1161
195	744	1155
196	747	1149
197	750	1144
198	752	1138
199	754	1132
200	757	1126
201	759	1120
202	761	1114
203	764	1109
204	766	1103
205	768	1097
206	771	1091
207	773	1086
208	775	1080
209	778	1074
210	782	1071
211	784	1065
212	786	1059
213	788	1054
214	790	1048
215	793	1042
216	796	1038
217	798	1033
218	800	1027
219	803	1022
220	805	1016
221	807	1011
222	809	1005
223	813	1002
224	816	997
225	819	993
226	821	987
227	823	982
228	825	976
229	828	972
230	830	967
231	833	962
232	835	957
233	837	952
234	839	946
235	841	941
236	845	938
237	847	933
238	850	928
239	852	923
240	854	918
241	856	913
242	858	908
243	861	904
244	863	899
245	865	894
246	868	889
247	870	884
248	872	879
249	875	875
250	878	871
251	880	866
252	882	861
253	884	857
254	887	852
255	889	847
256	892	843
257	894	839
258	896	834
259	899	830
260	901	825
261	903	820
262	906	816
