iter	Logloss
0	0.5058997094
1	0.4029919163
2	0.3485670514
3	0.3142098806
4	0.292512831
5	0.2817803398
6	0.2700582876
7	0.2647419703
8	0.2607074745
9	0.2582409322
10	0.2553120864
11	0.2533251686
12	0.251687796
13	0.2461317018
14	0.2446234992
15	0.2434315514
16	0.2419816559
17	0.2409087745
18	0.2398082599
19	0.2389191201
20	0.2382197072
21	0.237258328
22	0.236098935
23	0.2350382959
24	0.2340648076
25	0.2332760286
26	0.2321726606
27	0.2310224105
28	0.2303910874
29	0.2294280991
30	0.2286925533
31	0.2281291159
32	0.2273484067
33	0.226553312
34	0.2255596813
35	0.2250371532
36	0.2244751983
37	0.2237263664
38	0.2228797771
39	0.2214509218
