iter	Passed	Remaining
0	2	1240
1	4	1206
2	7	1189
3	9	1220
4	12	1239
5	14	1218
6	17	1209
7	19	1191
8	21	1182
9	23	1163
10	26	1169
11	28	1168
12	30	1160
13	33	1154
14	35	1160
15	38	1155
16	40	1151
17	44	1195
18	47	1207
19	50	1208
20	52	1202
21	55	1200
22	58	1217
23	61	1221
24	64	1221
25	66	1218
26	69	1210
27	71	1204
28	74	1211
29	77	1213
30	79	1207
31	82	1203
32	84	1198
33	87	1193
34	89	1194
35	92	1198
36	95	1195
37	98	1193
38	100	1191
39	103	1189
40	107	1199
41	109	1196
42	112	1192
43	114	1186
44	116	1181
45	119	1176
46	122	1179
47	124	1176
48	127	1171
49	129	1166
50	132	1164
51	134	1159
52	138	1165
53	141	1168
54	144	1171
55	147	1166
56	149	1163
57	152	1160
58	155	1164
59	158	1160
60	160	1158
61	163	1154
62	165	1150
63	168	1147
64	172	1155
65	175	1151
66	177	1147
67	180	1143
68	182	1140
69	184	1136
70	188	1138
71	190	1134
72	193	1130
73	195	1125
74	198	1123
75	200	1119
76	204	1126
77	207	1122
78	209	1118
79	212	1115
80	214	1111
81	217	1108
82	220	1107
83	223	1105
84	225	1102
85	228	1099
86	230	1095
87	233	1091
88	236	1093
89	239	1089
90	241	1085
91	243	1081
92	246	1077
93	248	1074
94	252	1077
95	256	1078
96	258	1075
97	261	1071
98	263	1067
99	267	1069
100	269	1066
101	272	1062
102	274	1059
103	277	1056
104	279	1052
105	282	1051
106	285	1048
107	287	1045
108	290	1041
109	292	1038
110	295	1035
111	298	1033
112	301	1033
113	304	1030
114	306	1026
115	308	1022
116	311	1019
117	314	1019
118	317	1016
119	327	1037
120	491	1538
121	606	1878
122	609	1868
123	611	1855
124	616	1848
125	618	1836
126	621	1824
127	624	1813
128	626	1801
129	630	1795
130	634	1786
131	636	1775
132	639	1764
133	641	1752
134	644	1742
135	648	1734
136	650	1724
137	653	1713
138	655	1702
139	657	1691
140	660	1681
141	667	1682
142	670	1673
143	672	1663
144	675	1652
145	678	1645
146	681	1636
147	683	1626
148	686	1616
149	688	1606
150	691	1597
151	694	1590
152	697	1581
153	700	1572
154	702	1563
155	704	1554
156	707	1545
157	710	1538
158	713	1529
159	715	1520
160	718	1512
161	720	1504
162	723	1495
163	727	1490
164	729	1481
165	732	1473
166	734	1464
167	737	1456
168	739	1449
169	743	1443
170	745	1435
171	748	1427
172	750	1419
173	753	1411
174	756	1404
175	759	1398
176	762	1390
177	764	1382
178	766	1375
179	769	1368
180	772	1360
181	775	1354
182	778	1347
183	780	1340
184	782	1333
185	785	1325
186	787	1318
187	791	1313
188	794	1306
189	796	1299
190	799	1292
191	801	1285
192	803	1278
193	807	1273
194	809	1266
195	812	1259
196	814	1253
197	817	1246
198	819	1239
199	822	1233
200	825	1227
201	827	1221
202	830	1214
203	832	1208
204	835	1202
205	839	1197
206	841	1191
207	845	1186
208	847	1180
209	849	1173
210	852	1167
211	856	1163
212	859	1157
213	862	1152
214	864	1146
215	866	1139
216	869	1133
217	872	1129
218	876	1124
219	878	1118
220	881	1112
221	883	1106
222	887	1102
223	890	1096
224	892	1091
225	895	1085
226	897	1079
227	899	1073
228	903	1068
229	905	1063
230	908	1057
231	910	1051
232	912	1046
233	915	1040
234	918	1035
235	921	1030
236	923	1025
237	926	1019
238	928	1014
239	931	1009
240	934	1004
241	937	999
242	939	994
243	942	988
244	944	983
245	947	978
246	950	973
247	953	968
248	955	963
249	958	958
250	961	953
251	963	948
252	966	943
253	969	938
254	972	934
255	974	929
256	977	924
257	980	919
258	985	917
259	988	912
260	990	906
261	992	901
262	995	896
263	998	892
264	1001	887
265	1003	882
266	1005	877
267	1008	872
268	1010	867
269	1013	863
270	1017	859
271	1019	854
272	1021	849
273	1024	844
274	1026	840
275	1029	835
276	1032	831
277	1035	826
278	1037	821
279	1040	817
280	1042	812
281	1045	808
282	1048	804
283	1051	799
284	1053	794
285	1056	790
286	1058	785
287	1061	781
288	1064	777
289	1067	772
290	1069	768
291	1072	763
292	1074	759
293	1077	754
294	1081	751
295	1084	747
296	1087	743
297	1089	738
298	1092	734
299	1096	730
300	1098	726
301	1101	721
302	1103	717
303	1105	713
304	1108	708
305	1112	705
306	1114	700
307	1117	696
308	1119	691
309	1121	687
310	1124	683
311	1127	679
312	1130	675
313	1132	670
314	1135	666
315	1137	662
316	1139	657
317	1143	654
318	1146	650
319	1148	645
320	1150	641
321	1153	637
322	1155	633
323	1158	629
324	1161	625
325	1163	621
326	1166	617
327	1168	612
328	1171	608
329	1174	605
330	1177	601
331	1180	597
332	1182	593
333	1185	589
334	1187	584
335	1190	581
336	1193	577
337	1196	573
338	1198	569
339	1201	565
340	1203	561
341	1206	557
342	1209	553
343	1212	549
344	1214	545
345	1217	541
346	1219	537
347	1222	533
348	1225	530
349	1227	526
350	1229	522
351	1232	518
352	1234	514
353	1237	510
354	1241	507
355	1243	503
356	1246	499
357	1248	495
358	1250	491
359	1253	487
360	1256	483
361	1259	480
362	1261	476
363	1264	472
364	1266	468
365	1269	464
366	1273	461
367	1276	457
368	1279	454
369	1281	450
370	1283	446
371	1287	442
372	1289	439
373	1292	435
374	1294	431
375	1297	427
376	1299	424
377	1305	421
378	1307	417
379	1309	413
380	1312	409
381	1314	406
382	1317	402
383	1320	399
384	1323	395
385	1325	391
386	1328	387
387	1330	384
388	1333	380
389	1336	377
390	1339	373
391	1341	369
392	1343	365
393	1346	362
394	1349	358
395	1352	355
396	1355	351
397	1357	347
398	1360	344
399	1362	340
400	1365	337
401	1369	333
402	1371	330
403	1374	326
404	1376	322
405	1379	319
406	1381	315
407	1385	312
408	1389	309
409	1391	305
410	1394	301
411	1396	298
412	1400	295
413	1403	291
414	1406	287
415	1408	284
416	1411	280
417	1413	277
418	1417	273
419	1419	270
420	1422	266
421	1425	263
422	1427	259
423	1431	256
424	1434	253
425	1436	249
426	1439	246
427	1441	242
428	1444	239
429	1447	235
430	1450	232
431	1452	228
432	1454	225
433	1457	221
434	1459	218
435	1462	214
436	1466	211
437	1468	207
438	1471	204
439	1473	200
440	1475	197
441	1479	194
442	1482	190
443	1485	187
444	1487	183
445	1490	180
446	1492	176
447	1496	173
448	1499	170
449	1501	166
450	1504	163
451	1506	159
452	1508	156
453	1512	153
454	1515	149
455	1517	146
456	1519	143
457	1522	139
458	1524	136
459	1529	132
460	1531	129
461	1534	126
462	1536	122
463	1538	119
464	1542	116
465	1545	112
466	1548	109
467	1550	106
468	1552	102
469	1555	99
470	1558	95
471	1561	92
472	1564	89
473	1566	85
474	1569	82
475	1571	79
476	1577	76
477	1585	72
478	1592	69
479	1595	66
480	1800	71
481	1807	67
482	1810	63
483	1813	59
484	1816	56
485	1819	52
486	1821	48
487	1826	44
488	1831	41
489	1836	37
490	1854	33
491	1865	30
492	1875	26
493	1881	22
494	1883	19
495	1894	15
496	1898	11
497	1901	7
498	1904	3
499	1907	0
