iter	Logloss
0	0.6218321618
1	0.5629373864
2	0.5142240086
3	0.473271292
4	0.439091673
5	0.4109321625
6	0.3864701666
7	0.3658859209
8	0.3492696935
9	0.3362125142
10	0.3247606289
11	0.3142383396
12	0.3062586801
13	0.2993566328
14	0.2936669604
15	0.2885114019
16	0.2832250134
17	0.2784246434
18	0.2745948721
19	0.2716243551
20	0.2678777485
21	0.2653604595
22	0.2634416359
23	0.2615724005
24	0.2600985887
25	0.2577185016
26	0.2563778724
27	0.2539296051
28	0.2527356919
29	0.2518452024
30	0.2505722206
31	0.2497313552
32	0.2487580972
33	0.2478587538
34	0.2471164466
35	0.2457185185
36	0.2449976787
37	0.2442485306
38	0.2428393476
39	0.2420845164
40	0.2415541271
41	0.2407820837
42	0.2399370879
43	0.2394662474
44	0.239047032
45	0.238441705
46	0.2378573515
47	0.2372465543
48	0.2367186554
49	0.2359616992
50	0.2356435966
51	0.2351437724
52	0.2346078994
53	0.2341671936
54	0.2335394453
55	0.2329688616
56	0.2325570823
57	0.2321789943
58	0.231707187
59	0.2313613606
60	0.2310077559
61	0.2305949171
62	0.2302349975
63	0.2297949468
64	0.2294572174
65	0.2289886743
66	0.2286522977
67	0.2282847196
68	0.2278603814
69	0.2268932985
70	0.2265088394
71	0.2262371805
72	0.2259502534
73	0.2254248518
74	0.2251606494
75	0.2248297367
76	0.2239183076
77	0.2236392654
78	0.2234393054
79	0.2231127363
80	0.2226737655
81	0.2220586718
82	0.2217371067
83	0.2213362494
84	0.2209375984
85	0.2205384043
86	0.2201566595
87	0.2196993957
88	0.2193289209
89	0.2191160677
90	0.2188179189
91	0.2185093246
92	0.2181411876
93	0.2179064451
94	0.2176656018
95	0.2173956969
96	0.2169555547
97	0.2166160703
98	0.2162892839
99	0.2160535067
100	0.2157035462
101	0.2153855817
102	0.2150279214
103	0.2145070788
104	0.2141725347
105	0.2137996385
106	0.2134594688
107	0.2131489269
108	0.2126811564
109	0.2124668962
110	0.2120873843
111	0.2117517172
112	0.2115346949
113	0.2112322737
114	0.2109287166
115	0.2106912209
116	0.2103104529
117	0.2100264245
118	0.2096834215
119	0.2094468662
120	0.2090913261
121	0.2087217283
122	0.2083184246
123	0.208012817
124	0.2075561051
125	0.2072269416
126	0.2066638339
127	0.2063666833
128	0.2059530202
129	0.2056155043
130	0.2052444258
131	0.2047910535
132	0.204501585
133	0.2041488995
134	0.2038296274
135	0.2035524727
136	0.2032813898
137	0.202893003
138	0.2026202454
139	0.2022684184
140	0.2020106643
141	0.2015864472
